line_no,name,building_type,start_dynasty,start_year,century,province,dimension,term,term_confidence
53,故宫,宫殿,明,1406,15世纪,北京市,建筑空间布局,外朝内廷,0.97
53,故宫,宫殿,明,1406,15世纪,北京市,建筑空间布局,院落组合,0.95
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑结构体系,重檐八角亭式,0.95
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑结构体系,彻上明造,0.95
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑结构体系,单檐硬山顶,0.95
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑结构体系,须弥座台基,0.95
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑材料,绿剪边黄琉璃瓦,0.9
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑材料,大青石,0.9
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑材料,黑琉璃瓦,0.9
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑材料,宝瓶火焰珠攒尖顶,0.9
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑功能,理政殿,0.98
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑功能,登基大典场所,0.98
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑功能,藏书阁,0.98
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,营造技艺,修缮开放展示,0.3
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑空间布局,东路-中路-西路三段式,0.96
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑空间布局,宫高殿低,0.96
65,沈阳故宫,宫殿,清,1625,17世纪,辽宁省,建筑空间布局,八旗帐殿布局,0.96
66,国子监,官府,隋,581,6世纪,北京市,建筑结构体系,合院式布局,0.87
66,国子监,官府,隋,581,6世纪,北京市,建筑结构体系,中轴对称,0.85
66,国子监,官府,隋,581,6世纪,北京市,建筑材料,青砖灰瓦,0.86
66,国子监,官府,隋,581,6世纪,北京市,建筑材料,木构架,0.84
66,国子监,官府,隋,581,6世纪,北京市,建筑功能,中央官学,0.95
66,国子监,官府,隋,581,6世纪,北京市,建筑功能,科举考核,0.93
66,国子监,官府,隋,581,6世纪,北京市,建筑功能,士子教育,0.92
66,国子监,官府,隋,581,6世纪,北京市,建筑功能,德行规管,0.9
66,国子监,官府,隋,581,6世纪,北京市,建筑功能,留学生接待,0.88
66,国子监,官府,隋,581,6世纪,北京市,营造技艺,抬梁式构架,0.83
66,国子监,官府,隋,581,6世纪,北京市,营造技艺,官式彩画,0.81
66,国子监,官府,隋,581,6世纪,北京市,建筑空间布局,成贤街,0.85
66,国子监,官府,隋,581,6世纪,北京市,建筑空间布局,四牌楼,0.84
66,国子监,官府,隋,581,6世纪,北京市,建筑空间布局,国子监街,0.83
66,国子监,官府,隋,581,6世纪,北京市,建筑空间布局,牌坊布局,0.82
73,杜甫草堂,民居,唐,760,8世纪,四川省,建筑结构体系,中轴对称,0.92
73,杜甫草堂,民居,唐,760,8世纪,四川省,建筑结构体系,回廊结构,0.9
73,杜甫草堂,民居,唐,760,8世纪,四川省,建筑材料,茅草,0.7
73,杜甫草堂,民居,唐,760,8世纪,四川省,建筑材料,木材,0.65
73,杜甫草堂,民居,唐,760,8世纪,四川省,建筑功能,展览馆,0.95
73,杜甫草堂,民居,唐,760,8世纪,四川省,建筑功能,纪念祠,0.93
73,杜甫草堂,民居,唐,760,8世纪,四川省,建筑功能,书斋,0.9
73,杜甫草堂,民居,唐,760,8世纪,四川省,营造技艺,茅屋营造,0.85
73,杜甫草堂,民居,唐,760,8世纪,四川省,营造技艺,传统木构,0.8
73,杜甫草堂,民居,唐,760,8世纪,四川省,建筑空间布局,中轴线布局,0.9
73,杜甫草堂,民居,唐,760,8世纪,四川省,建筑空间布局,对称回廊,0.88
73,杜甫草堂,民居,唐,760,8世纪,四川省,建筑空间布局,围院结构,0.85
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑结构体系,汉藏结合式,0.95
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑结构体系,藏式寺庙,0.94
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑结构体系,汉式寺庙,0.93
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑材料,楠木,0.9
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑材料,金漆木雕,0.89
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑材料,铜,0.87
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑功能,行宫,0.98
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑功能,听政殿,0.97
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑功能,接见外使,0.96
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑功能,皇家园林,0.95
76,避暑山庄,宫殿,清,1703,18世纪,河北省,营造技艺,取法自然,0.92
76,避暑山庄,宫殿,清,1703,18世纪,河北省,营造技艺,融合南北造园艺术,0.91
76,避暑山庄,宫殿,清,1703,18世纪,河北省,营造技艺,仿天一阁,0.9
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑空间布局,宫殿区与苑景区,0.96
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑空间布局,湖泊区,0.95
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑空间布局,平原区,0.94
76,避暑山庄,宫殿,清,1703,18世纪,河北省,建筑空间布局,山峦区,0.93
91,皇史宬,官府,明,1534,16世纪,北京市,建筑结构体系,拱券式无梁结构,0.98
91,皇史宬,官府,明,1534,16世纪,北京市,建筑结构体系,砖木仿石结构,0.97
91,皇史宬,官府,明,1534,16世纪,北京市,建筑结构体系,庑殿顶,0.96
91,皇史宬,官府,明,1534,16世纪,北京市,建筑材料,磨砖,0.97
91,皇史宬,官府,明,1534,16世纪,北京市,建筑材料,汉白玉,0.97
91,皇史宬,官府,明,1534,16世纪,北京市,建筑材料,黄琉璃筒瓦,0.95
91,皇史宬,官府,明,1534,16世纪,北京市,建筑材料,樟木,0.94
91,皇史宬,官府,明,1534,16世纪,北京市,建筑功能,皇家档案馆,0.99
91,皇史宬,官府,明,1534,16世纪,北京市,建筑功能,石室金匮,0.98
91,皇史宬,官府,明,1534,16世纪,北京市,营造技艺,拱券砌筑,0.95
91,皇史宬,官府,明,1534,16世纪,北京市,营造技艺,防潮构造,0.94
91,皇史宬,官府,明,1534,16世纪,北京市,营造技艺,防火设计,0.93
91,皇史宬,官府,明,1534,16世纪,北京市,建筑空间布局,围院结构,0.96
91,皇史宬,官府,明,1534,16世纪,北京市,建筑空间布局,中轴对称布局,0.95
91,皇史宬,官府,明,1534,16世纪,北京市,建筑空间布局,配殿对置,0.94
94,古观象台,官府,明,1442,15世纪,北京市,建筑结构体系,城堡式高台,0.95
94,古观象台,官府,明,1442,15世纪,北京市,建筑结构体系,展厅结构,0.85
94,古观象台,官府,明,1442,15世纪,北京市,建筑材料,灰砖,0.85
94,古观象台,官府,明,1442,15世纪,北京市,建筑功能,国家天文台,0.98
94,古观象台,官府,明,1442,15世纪,北京市,建筑功能,钦天监外署,0.96
94,古观象台,官府,明,1442,15世纪,北京市,建筑功能,博物馆,0.94
94,古观象台,官府,明,1442,15世纪,北京市,营造技艺,大规模维修,0.55
94,古观象台,官府,明,1442,15世纪,北京市,营造技艺,内部掏空改建,0.53
94,古观象台,官府,明,1442,15世纪,北京市,建筑空间布局,四合院,0.96
94,古观象台,官府,明,1442,15世纪,北京市,建筑空间布局,观象台与四合院组合,0.94
94,古观象台,官府,明,1442,15世纪,北京市,建筑空间布局,围院结构,0.92
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑结构体系,水门,0.95
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑结构体系,防波堤,0.95
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑结构体系,城墙,0.95
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑结构体系,敌台,0.95
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑结构体系,炮台,0.95
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑材料,土城,0.9
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑材料,包砖,0.9
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑功能,海防要塞,0.98
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑功能,水军基地,0.98
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑功能,操练水师,0.98
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑功能,停泊船舰,0.98
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,营造技艺,土城夯筑,0.92
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,营造技艺,外包砖砌,0.92
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,营造技艺,依山就势,0.9
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑空间布局,不规则长方形,0.93
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑空间布局,山麓依附,0.93
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑空间布局,南宽北窄,0.93
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,山东省,建筑空间布局,山城一体,0.93
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑结构体系,四合院,0.95
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑结构体系,后罩楼,0.93
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑结构体系,多进院落,0.92
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑结构体系,三路并列,0.9
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑材料,青砖灰瓦,0.85
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑材料,木构架,0.83
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑材料,琉璃构件,0.78
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑功能,祭祀空间,0.9
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑功能,戏楼演出,0.88
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑功能,厅堂会客,0.85
102,恭王府及花园,官府,清,1777,18世纪,北京市,营造技艺,抬梁式构架,0.82
102,恭王府及花园,官府,清,1777,18世纪,北京市,营造技艺,榫卯结构,0.8
102,恭王府及花园,官府,清,1777,18世纪,北京市,营造技艺,彩画装饰,0.79
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑空间布局,中轴对称,0.98
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑空间布局,三路分区,0.97
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑空间布局,前府后园,0.96
102,恭王府及花园,官府,清,1777,18世纪,北京市,建筑空间布局,院落串联,0.95
103,网师园,民居,宋,1174,12世纪,江苏省,建筑结构体系,宅园合一,0.95
103,网师园,民居,宋,1174,12世纪,江苏省,建筑结构体系,中轴对称,0.92
103,网师园,民居,宋,1174,12世纪,江苏省,建筑结构体系,四进院落,0.9
103,网师园,民居,宋,1174,12世纪,江苏省,建筑材料,石材,0.6
103,网师园,民居,宋,1174,12世纪,江苏省,建筑材料,木材,0.58
103,网师园,民居,宋,1174,12世纪,江苏省,建筑材料,砖瓦,0.55
103,网师园,民居,宋,1174,12世纪,江苏省,建筑功能,宴乐空间,0.9
103,网师园,民居,宋,1174,12世纪,江苏省,建筑功能,书房,0.88
103,网师园,民居,宋,1174,12世纪,江苏省,建筑功能,夜花园,0.85
103,网师园,民居,宋,1174,12世纪,江苏省,营造技艺,叠石,0.85
103,网师园,民居,宋,1174,12世纪,江苏省,营造技艺,临水布局,0.83
103,网师园,民居,宋,1174,12世纪,江苏省,营造技艺,亭宇增建,0.8
103,网师园,民居,宋,1174,12世纪,江苏省,建筑空间布局,中轴主园,0.95
103,网师园,民居,宋,1174,12世纪,江苏省,建筑空间布局,内园紧凑,0.93
103,网师园,民居,宋,1174,12世纪,江苏省,建筑空间布局,池水为中心,0.9
103,网师园,民居,宋,1174,12世纪,江苏省,建筑空间布局,东宅西园,0.88
116,正阳门,官府,明,1419,15世纪,北京市,建筑结构体系,木结构,0.98
116,正阳门,官府,明,1419,15世纪,北京市,建筑结构体系,重檐歇山顶,0.97
116,正阳门,官府,明,1419,15世纪,北京市,建筑结构体系,砖砌城台,0.96
116,正阳门,官府,明,1419,15世纪,北京市,建筑结构体系,菱花格扇门窗,0.94
116,正阳门,官府,明,1419,15世纪,北京市,建筑材料,木材,0.95
116,正阳门,官府,明,1419,15世纪,北京市,建筑材料,朱红砖,0.94
116,正阳门,官府,明,1419,15世纪,北京市,建筑材料,灰筒瓦,0.95
116,正阳门,官府,明,1419,15世纪,北京市,建筑材料,绿琉璃剪边,0.93
116,正阳门,官府,明,1419,15世纪,北京市,建筑功能,御用门道,0.96
116,正阳门,官府,明,1419,15世纪,北京市,建筑功能,箭窗防御,0.95
116,正阳门,官府,明,1419,15世纪,北京市,建筑功能,国货陈列所,0.92
116,正阳门,官府,明,1419,15世纪,北京市,建筑功能,礼制通道,0.93
116,正阳门,官府,明,1419,15世纪,北京市,营造技艺,形制放大重建,0.92
116,正阳门,官府,明,1419,15世纪,北京市,营造技艺,西洋纹饰融合,0.91
116,正阳门,官府,明,1419,15世纪,北京市,营造技艺,汉白玉栏杆加设,0.9
116,正阳门,官府,明,1419,15世纪,北京市,营造技艺,半弧形遮阳华盖,0.89
116,正阳门,官府,明,1419,15世纪,北京市,建筑空间布局,瓮城布局,0.97
116,正阳门,官府,明,1419,15世纪,北京市,建筑空间布局,城楼-箭楼对置,0.96
116,正阳门,官府,明,1419,15世纪,北京市,建筑空间布局,月墙侧门,0.95
116,正阳门,官府,明,1419,15世纪,北京市,建筑空间布局,庙宇对称配置,0.94
117,清远楼,官府,明,1482,15世纪,河北省,建筑结构体系,高台楼阁式,0.95
117,清远楼,官府,明,1482,15世纪,河北省,建筑结构体系,重檐歇山顶,0.94
117,清远楼,官府,明,1482,15世纪,河北省,建筑结构体系,回廊结构,0.92
117,清远楼,官府,明,1482,15世纪,河北省,建筑结构体系,抱厦,0.91
117,清远楼,官府,明,1482,15世纪,河北省,建筑材料,青砖,0.93
117,清远楼,官府,明,1482,15世纪,河北省,建筑材料,条石,0.92
117,清远楼,官府,明,1482,15世纪,河北省,建筑材料,琉璃瓦,0.93
117,清远楼,官府,明,1482,15世纪,河北省,建筑材料,布瓦,0.91
117,清远楼,官府,明,1482,15世纪,河北省,建筑功能,钟楼,0.96
117,清远楼,官府,明,1482,15世纪,河北省,建筑功能,报时建筑,0.94
117,清远楼,官府,明,1482,15世纪,河北省,建筑功能,镇城设施,0.92
117,清远楼,官府,明,1482,15世纪,河北省,营造技艺,三踩单翘斗拱,0.91
117,清远楼,官府,明,1482,15世纪,河北省,营造技艺,九踩斗拱,0.91
117,清远楼,官府,明,1482,15世纪,河北省,营造技艺,通天柱,0.9
117,清远楼,官府,明,1482,15世纪,河北省,营造技艺,六椽结构,0.89
117,清远楼,官府,明,1482,15世纪,河北省,建筑空间布局,十字门洞,0.94
117,清远楼,官府,明,1482,15世纪,河北省,建筑空间布局,四门通衢,0.93
117,清远楼,官府,明,1482,15世纪,河北省,建筑空间布局,中心偏东布局,0.92
118,光岳楼,官府,明,1374,14世纪,山东省,建筑结构体系,四重檐十字脊,0.95
118,光岳楼,官府,明,1374,14世纪,山东省,建筑结构体系,全木结构,0.95
118,光岳楼,官府,明,1374,14世纪,山东省,建筑结构体系,楼阁式,0.93
118,光岳楼,官府,明,1374,14世纪,山东省,建筑结构体系,金柱支撑,0.9
118,光岳楼,官府,明,1374,14世纪,山东省,建筑结构体系,斗拱结构,0.9
118,光岳楼,官府,明,1374,14世纪,山东省,建筑材料,木材,0.92
118,光岳楼,官府,明,1374,14世纪,山东省,建筑材料,基条石,0.88
118,光岳楼,官府,明,1374,14世纪,山东省,建筑材料,余木,0.85
118,光岳楼,官府,明,1374,14世纪,山东省,建筑功能,瞭望,0.95
118,光岳楼,官府,明,1374,14世纪,山东省,建筑功能,御敌,0.95
118,光岳楼,官府,明,1374,14世纪,山东省,建筑功能,军事指挥,0.9
118,光岳楼,官府,明,1374,14世纪,山东省,营造技艺,浅性基础,0.85
118,光岳楼,官府,明,1374,14世纪,山东省,营造技艺,斗拱营造,0.84
118,光岳楼,官府,明,1374,14世纪,山东省,营造技艺,原物保留修缮,0.83
118,光岳楼,官府,明,1374,14世纪,山东省,建筑空间布局,中心对称布局,0.95
118,光岳楼,官府,明,1374,14世纪,山东省,建筑空间布局,面阔进深递减,0.93
118,光岳楼,官府,明,1374,14世纪,山东省,建筑空间布局,拱门四向设制,0.92
118,光岳楼,官府,明,1374,14世纪,山东省,建筑空间布局,单入口通达,0.9
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑结构体系,纯木结构,0.98
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑结构体系,盔顶,0.97
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑结构体系,四柱,0.96
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑结构体系,飞檐,0.95
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑结构体系,如意斗拱,0.94
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑材料,楠木,0.95
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑材料,玻璃筒瓦,0.93
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑材料,桐油石灰,0.92
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑材料,糯米粉调细瓷灰,0.91
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑功能,阅军楼,0.93
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑功能,宴席之地,0.92
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑功能,观览风景,0.91
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑功能,凭吊场所,0.9
119,岳阳楼,官府,东汉,215,3世纪,湖南省,营造技艺,榫合结构,0.96
119,岳阳楼,官府,东汉,215,3世纪,湖南省,营造技艺,无钉构造,0.95
119,岳阳楼,官府,东汉,215,3世纪,湖南省,营造技艺,桐油石灰粘结,0.94
119,岳阳楼,官府,东汉,215,3世纪,湖南省,营造技艺,糯米灰浆砌筑,0.93
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑空间布局,三层楼阁,0.91
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑空间布局,后移布局,0.9
119,岳阳楼,官府,东汉,215,3世纪,湖南省,建筑空间布局,贴金雕花门窗,0.89
120,观音桥,桥梁,宋,1014,11世纪,江西省,建筑结构体系,石拱桥,0.95
120,观音桥,桥梁,宋,1014,11世纪,江西省,建筑材料,石材,0.55
120,观音桥,桥梁,宋,1014,11世纪,江西省,建筑功能,交通桥梁,0.85
120,观音桥,桥梁,宋,1014,11世纪,江西省,建筑功能,文物保护单位,0.8
120,观音桥,桥梁,宋,1014,11世纪,江西省,营造技艺,干砌石工,0.75
120,观音桥,桥梁,宋,1014,11世纪,江西省,营造技艺,券拱技术,0.8
120,观音桥,桥梁,宋,1014,11世纪,江西省,建筑空间布局,单孔拱券,0.85
120,观音桥,桥梁,宋,1014,11世纪,江西省,建筑空间布局,跨涧而建,0.7
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑结构体系,浮梁结合结构,0.95
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑结构体系,梁桥,0.93
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑结构体系,浮桥,0.93
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑结构体系,拱桥,0.92
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑结构体系,十八梭船廿四洲,0.9
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑材料,石材,0.85
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑材料,木材,0.8
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑材料,铁件,0.75
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑功能,交通要津,0.9
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑功能,旅游观光步行桥,0.88
122,广济桥,桥梁,宋,1171,12世纪,广东省,营造技艺,启闭式桥梁,0.85
122,广济桥,桥梁,宋,1171,12世纪,广东省,营造技艺,梁桥与浮桥并存,0.83
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑空间布局,横跨韩江,0.9
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑空间布局,联结东西两岸,0.88
122,广济桥,桥梁,宋,1171,12世纪,广东省,建筑空间布局,十八梭船廿四洲,0.9
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑结构体系,石墩梁桥,0.95
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑结构体系,拱桥,0.94
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑结构体系,实体纤道,0.93
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑结构体系,双面临水纤道,0.92
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑结构体系,单面靠岸纤道,0.91
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑材料,条石,0.93
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑材料,石板,0.92
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑材料,石砌,0.91
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑材料,石甃,0.9
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑功能,行舟背纤通道,0.96
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑功能,运河附属设施,0.94
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑功能,纤道,0.93
123,古纤道,桥梁,唐,815,9世纪,浙江省,营造技艺,石砌工艺,0.9
123,古纤道,桥梁,唐,815,9世纪,浙江省,营造技艺,石甃修葺,0.89
123,古纤道,桥梁,唐,815,9世纪,浙江省,营造技艺,大规模修整,0.88
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑空间布局,水中长堤,0.92
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑空间布局,两面环水,0.91
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑空间布局,笔直无曲,0.9
123,古纤道,桥梁,唐,815,9世纪,浙江省,建筑空间布局,线性延展,0.89
124,直隶总督署,官府,清,1730,18世纪,河北省,建筑结构体系,抬梁式,0.85
124,直隶总督署,官府,清,1730,18世纪,河北省,建筑结构体系,穿斗式,0.65
124,直隶总督署,官府,清,1730,18世纪,河北省,建筑材料,木材,0.9
124,直隶总督署,官府,清,1730,18世纪,河北省,建筑材料,砖石,0.85
124,直隶总督署,官府,清,1730,18世纪,河北省,建筑材料,琉璃瓦,0.8
124,直隶总督署,官府,清,1730,18世纪,河北省,建筑功能,官署,0.95
124,直隶总督署,官府,清,1730,18世纪,河北省,建筑功能,行政办公,0.9
124,直隶总督署,官府,清,1730,18世纪,河北省,营造技艺,榫卯结构,0.85
124,直隶总督署,官府,清,1730,18世纪,河北省,营造技艺,糯米灰浆,0.75
124,直隶总督署,官府,清,1730,18世纪,河北省,建筑空间布局,中轴对称,0.9
124,直隶总督署,官府,清,1730,18世纪,河北省,建筑空间布局,围院结构,0.85
125,卓克基土司官寨,官府,元,1286,13世纪,四川省,建筑结构体系,石木结构,0.95
125,卓克基土司官寨,官府,元,1286,13世纪,四川省,建筑结构体系,收分墙体,0.94
125,卓克基土司官寨,官府,元,1286,13世纪,四川省,建筑结构体系,通高柱,0.93
125,卓克基土司官寨,官府,元,1286,13世纪,四川省,建筑结构体系,横梁穿插,0.92
125,卓克基土司官寨,官府,元,1286,13世纪,四川省,建筑材料,青石,0.97
125,卓克基土司官寨,官府,元,1286,13世纪,四川省,建筑材料,黄泥,0.96
125,卓克基土司官寨,官府,元,1286,13世纪,四川省,建筑材料,木材,0.95
125,卓克基土司官寨,官府,元,1286,13世纪,四川省,建筑材料,片石,0.94
125,卓克基土司官寨,官府,元,1286,13世纪,四川省,建筑功能,政教中心,0.96
125,卓克基土司官寨,官府,元,1286,13世纪,四川省,建筑功能,居住空间,0.95
125,卓克基土司官寨,官府,元,1286,13世纪,四川省,建筑功能,防御碉楼,0.94
